score,SMILES,Name
0.77,COCc1ncc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2n1,95883519_20436848_1592098
0.943,C[C@@H](O)[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_895103
0.83,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2nc(=O)[nH]cc2c1=O,1699911_20436848_1592098
0.773,Nc1cc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2cn1,39066342_20436848_1592098
0.826,Cc1cc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2cc1O,96028999_20436848_1592098
0.794,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1C[C@@H]1CO[C@@H](CO)CO1)OCO3,3888941_1875388930_1592098
0.792,Cc1cnn2c1ncc1c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc12,39083799_20436848_1592098
0.802,COc1cc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2cn1,95635282_20436848_1592098
0.946,NC[C@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_12502813
0.9,O=C([C@H]1CCN1)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_13375224_1592098
0.923,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CC1(O)COC1)OCO3,3888941_74938389_1592098
0.839,Nc1ccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2n1,39066311_20436848_1592098
0.882,C[C@@H](N)C(=O)NCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1575492
0.902,NC(=O)[C@H](N)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1607276
0.748,COc1cncc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c12,35270322_20436848_1592098
0.896,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CC[C@H](O)CO)OCO3,3888941_34273813_1592098
0.768,COc1ccc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,1715572_20436848_1592098
0.942,C[C@@H](O)[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1695855
0.908,COC[C@@H](O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2263862_1592098
0.937,NC(=O)NCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1464311
0.899,Cn1nnc(-n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)n1,3888941_16954943_1592098
0.966,N[C@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_895342
