score,SMILES,Name
0.664,CN(Cc1nc2c(=O)[nH]c(N)nc2c(=O)n1C(=N)CO)C(=O)CN,4876898_4682886_1742265
0.635,Nc1nncn1Cc1nc2ccnnc2c(=O)n1C(=O)CO,19854095_4692578_227173267
0.659,CNC(=O)[C@@H](CN(C)C)n1c([C@@H](C)OC(=O)CO)nc2c(OC)cccc2c1=O,389612_575458008_59569926
0.658,NC(=O)CC[C@@H](N)c1nc2nc(C(=O)O)ccc2c(=O)n1C(=O)C[C@H](O)CO,95769067_2567781_1532609
0.647,N#Cc1cc2c(=O)n([C@@H](C(=O)O)c3nnn[nH]3)c([C@H](O)[C@H](O)CO)nc2[nH]c1=O,3888503_3995585_901063
0.674,COC(=O)[C@@H](N)Cc1nc2cn(C)nc2c(=O)n1[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O,2534276_49587762_1709620
0.712,Nc1ncc2c(=O)n(C(=O)[C@H]3[C@@H]4CNC[C@@H]43)c(Cc3n[nH]c(=O)[nH]3)nc2n1,31613702_103523515_19089113
0.69,Cn1nnc(-n2c(CC[C@@H](N)C(N)=O)nc3c(cnn3C(C)(C)C)c2=O)n1,137316859_16954943_2560808
0.607,COC(=O)[C@H](CO)n1c([C@@H](N)[C@H](C)O)nc2cnn(C)c2c1=O,2534273_19230192_1747072
0.94,O=c1[nH]c(=O)c2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2[nH]1,1861052_19088805_2559503
0.722,CN[C@@]1(C(=O)n2c([C@H]3CNCCN3C)nc3ncc(C(=O)O)cc3c2=O)CCNC1,4202689_307663923_89223304
0.67,Cn1cnc2nc(Cn3cnnn3)n(CC[C@@H](O)CO)c(=O)c21,77271318_34273814_967442
0.679,COC(=O)[C@@H](CC(=O)O)n1c(C[C@@H](N)CO)nc2cc(C(=O)O)ccc2c1=O,389863_2560988_4181821
0.648,CNC(=O)[C@H]([C@@H](C)O)n1c([C@H]2CNC(=O)CN2)nc2ccc(OC)cc2c1=O,1715572_1510568_76576471
0.671,Nc1nnn(Cc2nc3c(nnn3C3COC3)c(=O)n2CCOCCO)n1,256054523_1760798_4294607
0.704,NC[C@H](CO)c1nc2c(cnc3ncnn32)c(=O)n1[C@H](C(=O)O)[C@H](O)C(=O)O,14608640_901878_12502813
0.636,COC(=O)CNC(=O)Cn1c([C@@H]2NCCNC2=O)nc2nsnc2c1=O,17327931_2168344_15442539
0.66,CN1CCNC[C@H]1c1nc2n[nH]nc2c(=O)n1C(=O)[C@H]1CNC(=O)C1,4621099_4301265_89223309
0.696,CCCn1nnc2c(=O)n([C@@H](C(=O)OC)[C@H](C)O)c(CCNC(=O)CN)nc21,253574718_34924610_1637970
0.58,COc1cnc2nc(C3(O)COC3)n([C@H](CO)C(=N)O)c(=O)c2n1,95757573_94437875_96028244
0.698,CC(=O)OC[C@H](C(=O)O)n1c(CNC=O)nc2cc(C)ncc2c1=O,34337536_1747043_1733657
0.678,COC(=O)[C@H](O)Cc1nc2c(C(N)=O)nsc2c(=O)n1[C@H]1CN[C@H](C(=O)O)C1,5670120_95831405_14585674
0.691,NC(=O)C[C@H](N)c1nc2cnn(CC(F)F)c2c(=O)n1C(=O)[C@H]1CCN1,223249297_13375224_1532556
0.684,Cc1nc2ncc3c(=O)n(C(=O)[C@@H]4CNCCC4=O)c([C@@H](CN)CO)nc3n2n1,49474298_100191301_12502811
0.749,CC(=O)N[C@@H](CO)c1nc2[nH][nH]c(=O)c2c(=O)n1-c1cc(=O)[nH]c(=O)[nH]1,19737344_967278_158173
0.708,O=C(c1ncc[nH]c1=O)n1c([C@H]2CNC[C@@H]2O)nc2c(sc3nccnc32)c1=O,12367501_8657_14507983
0.664,COc1cc(OC)c2c(=O)n(C(=O)CS(C)(=O)=O)c(C3(O)CC(N)C3)nc2c1,21994738_2165154_114118812
0.649,NC(=O)[C@@H](N)Cc1nc2nonc2c(=O)n1[C@@H]1CC[C@@H](O)[C@@H]1O,967421_34071169_2516163
0.672,O=C1C[C@H](C(=O)n2c(=O)c3c(C(=O)O)cccc3nc2[C@]2(O)C[C@H](O)C2)CN1,389579_4301264_1083812835
0.78,N[C@@H](CO)c1nc2ccc3cn[nH]c3c2c(=O)n1CC(=O)NCCC(=O)O,112588_1637970_895034
0.618,Cn1nc(CC(=O)O)c2c(=O)n(C[C@H]3CNCCO3)c([C@@H]3CNCC(=O)N3)nc21,1857793238_4343734_38540697
0.625,COC(=O)c1ccc2c(=O)n(-c3nncn3CC(=O)O)c(CN3CCNC3=N)nc2c1,14985559_227173267_1483569
0.726,COC(=O)[C@H]([C@H](C)O)n1c([C@H](N)CCO)nc2c(sc3ncncc32)c1=O,35269739_34924608_1742215
0.725,O=C([C@@H]1CNCCO1)n1c(C2(O)CNC2)nc2c(nnn2CC2CC2)c1=O,256050123_19686020_95532446
0.66,Cc1cnn2c1ncc1c(=O)n(C(C)(CO)CO)c([C@H](O)[C@@H](O)CO)nc12,39083799_967755_901061
0.686,C[C@@H](O)[C@H](O)c1nc2cc(C(=O)O)c(N)cc2c(=O)n1Cc1c[nH]c(=O)[nH]c1=O,330106_20417224_1695855
0.803,N=C(N)NCc1nc2cc(F)ncc2c(=O)n1-c1nnn(CC(=O)O)n1,95707580_4294607_895314
0.712,O=c1c2cnc(CO)nc2nc([C@@H]2CNC[C@@H]2CO)n1C[C@@H]1CO[C@@H](CO)CO1,40543678_1875388930_4203971
0.657,N=C(N)NC[C@H](N)c1nc2c(cnn2CCO)c(=O)n1[C@H]1COC[C@@H]1O,1559230_12957834_2384694
0.691,N#CNC(=N)n1c([C@@H](O)CN)nc2cnccc2c1=O,165882_5112486_2034711
0.662,N=C(N)NC[C@@H](N)c1nc2nscc2c(=O)n1[C@@H](CCO)C(=O)O,22861807_895146_1576365
0.592,NC(=O)NCc1nc2[nH]ncc2c(=O)n1C[C@@H](CO)C(=O)O,5116952_12502811_1464311
0.612,COC(=O)[C@H](CC(=O)O)n1c([C@H]2CNC[C@H]2O)nc2nnccc2c1=O,4202687_1709620_14507981
0.666,COC(=O)[C@H](N)Cc1nc2ccccc2c(=O)n1[C@@H]1CN(C)C[C@H]1O,47985_34278490_2560988
0.719,COC[C@@H](O)Cn1c([C@@H]2CNC(=O)CN2)nc2ccc(C(=O)O)cc2c1=O,33494531_2263862_76576478
0.651,COCC(O)(COC)Cn1c(CNC(=O)CCN)nc2c(OC)nccc2c1=O,72319657_702630473_1575546
0.729,N[C@H](c1nnn[nH]1)c1nc2c(C(=O)O)cccc2c(=O)n1-c1nc[nH]c(=O)n1,153908_12358729_3995585
0.667,CCCn1c(=O)ncc2c(=O)n(C3CN(CCO)C3)c([C@@H]3C[C@H](N)CN3)nc21,222633766_82601602_95093504
0.634,O=C1NC[C@@H](c2nc3c(nnc4ccnn43)c(=O)n2C[C@@H]2CNCCO2)N1,38700997_1296004_2140996
0.611,CN(C)C[C@@H](N)c1nc2c(cnc(=O)n2C)c(=O)n1[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,5424162_104600679_35024242
0.599,COc1ccc2c(=O)n([C@H](C(=O)O)[C@H](C)O)c([C@H](CO)NC(N)=O)nc2c1OC,36404812_1747072_2626461
0.652,COc1cncc2nc(CC(N)=O)n([C@H](C(=O)O)[C@@H](C)O)c(=O)c12,35270322_895103_901948
0.649,CCn1nnc2c(=O)n([C@@H](CO)C(=O)O)c([C@@H]3CNCCN3)nc21,72221062_895034_19363542
0.662,O=c1c2ncnnc2nc([C@@H]2C[C@H](O)CN2)n1C[C@H]1COC[C@@H]1O,39083028_76570824_901736
0.728,C[C@](CO)(C(=O)O)n1c([C@H]2CNCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2042820_19371708
0.668,Nc1ccc2c(=O)n(Cc3nc(CO)n[nH]3)c([C@H]3NCC[C@@H]3O)nc2n1,39066311_521398993_4096639
0.697,CC(=O)OC[C@@H](N)c1nc2nc3ncnn3cc2c(=O)n1CCC(=O)NCC(=O)O,211735994_1575546_1747043
0.717,CCn1c(=O)ncc2c(=O)n(-c3nc(C(=O)NC)n[nH]3)c([C@H](C)NC(=O)CN)nc21,108267078_19844301_1730665
0.73,Cc1cnc2nc([C@H](N)[C@@H](C)O)n(C[C@@H](O)c3nnn(C)n3)c(=O)c2c1,26441149_1225225_895399
0.7,CNC(=S)NC(=N)n1c([C@@H](N)CCN)nc2ncccc2c1=O,331646_33691246_52986906
0.647,Cc1[nH]c(=O)[nH]c(=O)c1-n1c([C@@H](CO)NC(N)=O)nc2cnn(C(C)C)c2c1=O,223249126_399478_2522564
0.777,COc1cnc2c(=O)n(C(=O)CN3CCOCC3)c([C@@H](N)CNC(N)=O)nc2n1,84307806_20436848_1531037
